artist_id,genres,artist_popularity,artist_followers
3NMfMCA11Xo7RUc91o64Og,japanese classical,59,32951
4l2DBGO8M3iEGsEVQzI1ph,,16,797
7Aq2oT2xuzRxIqdiqjRESp,indie dance|afro house|melodic house|melodic techno,28,5741
0LyfQWJT6nXafLPZqxe9Of,champeta,0,2706617
6uHGmRFCshy9WUO7Y7Zq2e,,35,890
4sON2lROSrWxBOvZgI5jqY,,35,4800
4RINs91XDFLmQtdHC9KEvH,power pop|psychedelic pop,13,2135
5koTBxO31TIzxRzBvsxzwH,slowcore|shoegaze,35,10071
1Bma7GS3Si9l7IZEc3S5L8,,28,3991
7kUD0blCWdWDmQEdaWMG7V,,1,81
2amVBLl47zl2VpBbJwCRvZ,melodic techno,26,1327
6AAkeead1pA9ejjB3ulNRl,,0,157
1wLNgQPdaRc5FqfINHAw5r,,0,1100
7MJ1pB5d6Vjmzep2zQlorn,classical|requiem|opera|neoclassical|choral,48,52003
1k7ExTp4YI6Xtrkjx3R2Au,,5,892
5zyNXVd952fWOjkdGHCvPd,classical|neoclassical,45,121085
7oXsRY3qdFKsxJRNHsPgDd,,3,91
51bn4xDakgAbK2z8EIzQZ4,french house|jazz blues,0,95
6vLlQYujOujIrm7zAKzEdG,folk rock|psychedelic rock,55,734384
0dDIQXCc5PRqBt9nJ0j7aS,,38,12854
18hCPASBQFR7Nm4o8z8spc,,8,201
4TKTii6gnOnUXQHyuo9JaD,,69,1287249
24mCrmpVV2xgoHxR6ZPNwA,,4,189
5kFHS4mQd9W0r7qDp8ec9A,swedish ballads|bisrock,48,125376
5cAtakaadWHJLxmGKrKcX7,alternative r&b,42,256131
2fAAEqIS8u1gCAvy103Vtv,,24,696
2Zj2PT3BXPuukoVh5OrVuf,,0,301
45HjTelZTh74OsfANh6vIe,chamber music,4,820
6088UyUnNFQQdFCkNDxbyS,chinese r&b|c-pop|mandopop,36,3473
2ye2Wgw4gimLv2eAKyk1NB,metal|thrash metal|rock|heavy metal|hard rock,84,30747458
7AuwIissSkefApTBF086JE,,42,41003
1HY2Jd0NmPuamShAr6KMms,art pop|pop,94,38114668
1EkJItZB7SZ49NabsOINPX,brazilian rock,17,5331
4DWX7u8BV0vZIQSpJQQDWU,post-grunge|alternative metal|hard rock,62,1200162
1f8UNsnIHYgguJ6n7FDS9K,,43,20301
1dLWg6m8RRhizsdqJbhyj3,glam metal|hard rock|glam rock,58,1969285
57DlMWmbVIf2ssJ8QBpBau,soundtrack,73,1785103
5QcGYbIhQiKu472ypOrhJu,,48,13957
1fxIxrQnSfLa8xNFodmBmO,schlagerparty,17,816
5ZOKvzD4GQ7Yg2CS4CVbRb,,54,48434
5KQMtyPE8DCQNUzoNqlEsE,new wave|synthpop|industrial|industrial rock,55,491324
6olE6TJLqED3rqDCT0FyPh,grunge|rock,84,22215119
65T5OWkp6XPHZzurwEaBl6,j-rock,27,16927
630wzNP2OL7fl4Xl0GnMWq,j-rock|metal,70,2498823
1hGdQOfaZ5saQ6JWVuxVDZ,japanese vgm,62,93773
6T08mUIMB32dtqq5ryxQZ3,french indie pop|french pop|french house|variété française|chanson,48,105386
05fG473iIaoy82BF1aGhL8,nu metal|metal|alternative metal|rap metal|heavy metal,81,13249835
58WFmcqNmejE2IpVIna43o,post-punk,26,62396
4ShgdWtm52xvEr8uYmT0V6,japanese vgm|soundtrack,66,350543
2tRsMl4eGxwoNabM08Dm4I,heavy metal|metal|hard rock|glam metal|speed metal,68,4376898
21JKDXC6Hihde2MshJBXM7,,51,629
7pOKRPPfbtv5c7Kdv40LVo,,46,17122
711MCceyCBcFnzjGY4Q7Un,rock|hard rock|classic rock|rock and roll,83,31233529
52NXqMHtbZNeAYpz4emC9a,,7,333
1qYedLslaYmgquDtL0GxFO,,47,11650
0rBTR006tODhAwpgtRDb3f,,39,31965
7zXyNC1Z0t3nvEZfYDTX0T,breakcore,37,4301
7cJZKfxEbQbjmgCFIZDDp9,anime,40,8768
7ACEUD7UsmmXrnj4OLt8f9,,66,119637
2pAWfrd7WFF3XhVt9GooDL,experimental hip hop|east coast hip hop|jazz rap|alternative hip hop,76,3823148
0C8ZW7ezQVs4URX5aX7Kqx,,87,52572268
36QJpDe2go2KgaRleHCDTp,classic rock|rock|hard rock|rock and roll,79,15498373
25uiPmTg16RbhZWAqwLBy5,hyperpop|art pop,87,5562146
0f8MDDzIc6M4uH1xH0o0gy,blues|classic blues|country blues,48,609590
2dd6B3Uhzim5ttqmISX9ez,,19,4941
6zO1dZ40fTZ5hY9NnnRJSk,,76,1239532
6fNmOWQzfOVyHLQ2UqUQew,,58,544220
0b1sIQumIAsNbqAoIClSpy,k-pop|k-rap,80,18483736
1W4itxt3vwhmrgLEBuVHJ6,,63,513976
0oUvRAt9hv96E6akDwgWCI,,57,131767
3K6ueahyMBq96ZtDjo9LSn,blues|blues rock|modern blues,29,17112
4Kxlr1PRlDKEB0ekOCyHgX,k-pop,73,5809430
38WbKH6oKAZskBhqDFA8Uj,j-pop|j-rock|anime|japanese indie,68,2099543
30fEdZPXgWfC4sNttcyB3C,argentine rock|latin rock,64,1791124
45dkTj5sMRSjrmBSBeiHym,,90,7763826
